EPC category,EPC type,Construction year,Renovation year,Number of floors,Floor area,Number of basements,Number of stairwells,Number of apartments,Exhaust,Balanced,Balanced with heat exchanger,Exhaust with heat pump,Natural ventilation,Pipe insulation,Door/windows insulation,Cement panel board,Tile/clinker,Carpet glue,Floor mat,Ventilation channel,Gbg
Single-family house,Detached,1901.0,1960.0,1.0,150,,,,,,,,,1.0,,,,,,1.0,1
Single-family house,Detached,1909.0,,,90,,,,,,,,,,,,1.0,,1.0,,1
Single-family house,Detached,1960.0,1983.0,1.0,69,,,,,,,,,0.0,0.0,,0.0,0.0,,,1
Single-family house,Detached,1968.0,,1.0,,,,,,,,,,0.0,,,,0.0,0.0,,1
Single-family house,Detached,1948.0,,1.0,82,,,,,,,,,,,,,,,,1
Single-family house,Detached,1963.0,,1.0,163,,,,,,,,,0.0,,,,,0.0,,1
Single-family house,Detached,1965.0,,1.0,37,,,,,,,,,,,,,,,,1
Single-family house,Detached,1920.0,,,,,,,,,,,,,,,,,,,1
Single-family house,Detached,1963.0,,,,,,,,,,,,,,,1.0,,1.0,,1
Single-family house,Detached,1968.0,,,155,,,,,,,,,,,,1.0,,,,1
Single-family house,Detached,1924.0,,2.0,130,,,,,,,,,1.0,0.0,,0.0,0.0,,,1
Single-family house,Detached,1935.0,,,75,,,,,,,,,,,,,,,,1
Single-family house,Detached,1936.0,1976.0,1.0,100,,,,,,,,,,,,,,,,1
Single-family house,Detached,1954.0,1986.0,,163,,,,,,,,,,,,,,,,1
Single-family house,Unknown,1947.0,,1.0,95,,,,,,,,,0.0,0.0,,0.0,0.0,,,1
Single-family house,Detached,1935.0,1981.0,,58,,,,,,,,,,,,,,,,1
Single-family house,Detached,1929.0,1956.0,,264,,,,,,,,,1.0,,,0.0,,,,1
Single-family house,Detached,1967.0,,2.0,68,,,,,,,,,0.0,0.0,,,0.0,,,1
Single-family house,Detached,1956.0,1975.0,1.0,87,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,1
Single-family house,Detached,1951.0,,2.0,201,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1
Single-family house,Detached,1951.0,,1.0,40,,,,,,,,,,,,,,,,1
Single-family house,Detached,1910.0,,1.0,52,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,0
Single-family house,Detached,1940.0,1957.0,2.0,75,,0.0,1.0,,,,,,1.0,,,1.0,,,,0
Single-family house,Detached,1945.0,2007.0,2.0,180,,,,,,,,,1.0,,,,,,,0
Single-family house,Detached,1946.0,,2.0,139,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,0
Single-family house,Detached,1923.0,1960.0,2.0,80,,,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,0.0,0
Single-family house,Detached,1938.0,1965.0,2.0,285,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,0
Premise building,Detached,1968.0,,,115,0.0,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0
Single-family house,Detached,1909.0,,1.0, 100,,,1.0,,,,,,,,,,,,,0
Single-family house,Detached,1929.0,,1.0,67,,,,,,,,,,,,1.0,,0.0,,0
Single-family house,Detached,1958.0,,1.0,100,,,,,,,,,,,,,,,,0
Single-family house,Detached,1941.0,1958.0,,75,,,,,,,,,,,1.0,,,,,0
Single-family house,Detached,1939.0,,,188,,,,,,,,,,,1.0,,,,1.0,0
Single-family house,Unknown,1963.0,,1.0,,,,,,,,,,,,,0.0,,1.0,,0
Single-family house,Unknown,1963.0,,1.0,,,,,,,,,,,,,,,1.0,,0
Single-family house,Unknown,1963.0,,1.0,,,,,,,,,,0.0,,,,,1.0,,0
Single-family house,Detached,1929.0,,1.0,25,,,,,,,,,,,1.0,0.0,,1.0,,0
Single-family house,Detached,1925.0,1960.0,2.0,90,,,,,,,,,,,,0.0,,,1.0,0
Single-family house,Detached,1934.0,2016.0,1.0,137,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
Single-family house,Detached,1932.0,1988.0,2.0,169,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0
Single-family house,Detached,1923.0,1989.0,2.0,184,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0
Single-family house,Detached,1950.0,1998.0,1.0,150,,,,,,,,,,,1.0,,,,,0
Single-family house,Detached,1927.0,1973.0,,112,,,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,0
Single-family house,Detached,1931.0,1975.0,1.0,94,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0
Single-family house,Detached,1929.0,,2.0,249,,,,,,,,,,,,0.0,,0.0,,0
Premise building,Detached,1945.0,,2.0,138,,,,,,,,,1.0,,1.0,1.0,,,,0
Single-family house,Detached,1930.0,,3.0,150,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0
Single-family house,Detached,1950.0,2014.0,,149,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0
Single-family house,Detached,1936.0,,1.0,64,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,1.0,1.0,0
Single-family house,Detached,1963.0,1990.0,1.0,349,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
Unknown,Detached,1952.0,,2.0,69,,,,,,,,,,,,,,,,0
Single-family house,Detached,1942.0,,1.0,65,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Multifamily house,Unknown,1985.0,,,256,,,,,,,,,,,,,,,,1
Multifamily house,Detached,1928.0,1964.0,2.0,2700,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1950.0,2017.0,3.0,3459,1.0,4.0,40.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,,1
Multifamily house,Detached,1960.0,2011.0,3.0,2258,1.0,2.0,68.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1
Premise building,Intermediate,1955.0,2002.0,2.0,1323,1.0,4.0,54.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,1
Multifamily house,Intermediate,1929.0,,6.0,1170,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,1
Premise building,Gable,1962.0,1997.0,8.0,2503,1.0,2.0,23.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1
Premise building,Gable,1962.0,1998.0,8.0,2503,1.0,2.0,23.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,1
Premise building,Gable,1935.0,,8.0,2503,1.0,2.0,23.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,,1.0,,1
Multifamily house,Detached,1932.0,1980.0,2.0,432,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Multifamily house,Detached,1948.0,1993.0,3.0,1392,1.0,3.0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,1
Multifamily house,Detached,1967.0,2018.0,4.0,20461,1.0,22.0,220.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,,,1
Multifamily house,Detached,1962.0,2002.0,3.0,3435,1.0,4.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1
Multifamily house,Detached,1967.0,,2.0,1524,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1967.0,,2.0,1524,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1967.0,,2.0,1524,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1967.0,,2.0,1710,1.0,3.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1967.0,,2.0,1524,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1967.0,,2.0,1524,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1967.0,,2.0,1524,1.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Multifamily house,Detached,1955.0,1991.0,9.0,2381,1.0,2.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
Multifamily house,Detached,1967.0,1990.0,4.0,1735,0.0,3.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,,1
Multifamily house,Detached,1937.0,,3.0,2674,1.0,6.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1
Multifamily house,Gable,1904.0,2012.0,7.0,4951,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1
Multifamily house,Detached,1936.0,2002.0,5.0,2235,1.0,4.0,105.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,1.0,1
Multifamily house,Detached,1969.0,,5.0,3152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
Multifamily house,Detached,1971.0,2015.0,4.0,3276,0.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1
Multifamily house,Detached,1945.0,2000.0,5.0,3129,,,,,,,,,1.0,1.0,,1.0,0.0,0.0,,1
